Date,Open,High,Low,Close,Prev. Close,Change,% Change
20-Feb-20,14.0225,14.0275,10.165,13.7,14.0225,-0.32,-2.3
24-Feb-20,13.7,17.375,12.295,16.9975,13.7,3.3,24.07
25-Feb-20,16.9975,17.3175,15.62,16.8975,16.9975,-0.1,-0.59
26-Feb-20,16.8975,18.865,16.5025,18.26,16.8975,1.36,8.06
27-Feb-20,18.26,19.155,16.8275,17.765,18.26,-0.5,-2.71
28-Feb-20,17.765,23.6975,17.4825,23.235,17.765,5.47,30.79
02-Mar-20,23.235,26.3425,19.92,25.2025,23.235,1.97,8.47
03-Mar-20,25.2025,26.49,21.5425,24.5425,25.2025,-0.66,-2.62
04-Mar-20,24.5425,26.2875,22.425,24.225,24.5425,-0.32,-1.29
05-Mar-20,24.225,24.225,22.125,23.2475,24.225,-0.98,-4.04
06-Mar-20,23.2475,27.55,23.2475,25.6425,23.2475,2.39,10.3
09-Mar-20,25.6425,34.355,21.425,30.8,25.6425,5.16,20.11
11-Mar-20,30.8,33.2375,29.65,31.555,30.8,0.75,2.45
12-Mar-20,31.555,42.3275,29.81,41.1625,31.555,9.61,30.45
13-Mar-20,41.1625,59.4825,41.1625,51.4725,41.1625,10.31,25.05
16-Mar-20,51.4725,59.865,51.4725,58.875,51.4725,7.4,14.38
17-Mar-20,58.875,63.44,57.25,62.925,58.875,4.05,6.88
18-Mar-20,62.925,64.5775,61.1525,63.955,62.925,1.03,1.64
19-Mar-20,63.955,73.3425,63.095,72.1975,63.955,8.24,12.89
20-Mar-20,72.1975,72.965,65.38,67.1,72.1975,-5.1,-7.06
23-Mar-20,67.1,73.3675,66.3175,71.985,67.1,4.89,7.28
24-Mar-20,71.985,86.635,71.985,83.6075,71.985,11.62,16.15
25-Mar-20,83.6075,84.5975,75.9725,77.625,83.6075,-5.98,-7.16
26-Mar-20,77.625,79.405,70.675,71.5325,77.625,-6.09,-7.85
27-Mar-20,71.5325,73.03,65.6325,70.385,71.5325,-1.15,-1.6
30-Mar-20,70.385,73.365,70.28,71.89,70.385,1.5,2.14
31-Mar-20,71.89,71.89,63.6075,64.4075,71.89,-7.48,-10.41
01-Apr-20,64.4075,64.4075,59.78,60.0525,64.4075,-4.35,-6.76
03-Apr-20,60.0525,60.59,54.9,55.3025,60.0525,-4.75,-7.91
07-Apr-20,55.3025,55.3025,49.9425,51.8,55.3025,-3.5,-6.33
08-Apr-20,51.8,53.7325,46.975,52.2425,51.8,0.44,0.85
09-Apr-20,52.2425,52.2425,46.9025,49.745,52.2425,-2.5,-4.78
13-Apr-20,49.745,52.4925,43.635,51.4575,49.745,1.71,3.44
15-Apr-20,51.4575,51.4575,44.6475,49.735,51.4575,-1.72,-3.35
16-Apr-20,49.735,49.735,42.255,46.095,49.735,-3.64,-7.32
17-Apr-20,46.095,46.095,40.305,42.5925,46.095,-3.5,-7.6
